电影名称,评论人,评论时间,评论内容,location,有用
功夫熊猫2 短评,蘇湛,2010-05-04,第二集要揭开的最大秘密是——阿宝的爸爸为什么是一只鸭子.......囧,香港,0
功夫熊猫2 短评,老樟树下的猫,2010-05-04,功夫熊猫1上映的时候，我刚刚高考完，一转眼，功夫熊猫2也成了社会话题，我在熬通宵准备期末考试。暑假一过就大四了……,江西南昌,0
功夫熊猫2 短评,时间的玫瑰,2010-05-04,功夫熊猫2，剧透型观影小指南：使用了皮影，水墨，贪吃蛇，大炼钢铁的元素。外部冲突是打坏蛋，内部冲突是寻找自我。随便什么时候都是尿点。困困,上海,0
功夫熊猫2 短评,暮玦明,2010-05-04,做作业重看功夫熊猫1，真精彩啊,江苏南京,0
功夫熊猫2 短评,jason1st,2010-05-04,某些人说中国的熊猫中国的功夫却是美国的电影，我真想说你丫尼玛闲的丹疼啊，美国科技发达拍的好，中国有东西，何乐不合作？扯什么国家,,0
功夫熊猫2 短评,鹿鸣之什,2010-05-04,大神Charlie Kaufman编剧？梦工厂要改变情节薄弱的缺点来和皮克斯对抗了？但会不会太复杂？,陕西西安,0
功夫熊猫2 短评,youcat,2010-05-04,......果然身世有谜团吗orz,上海,0
功夫熊猫2 短评,#稀飯,2010-05-04,测试！ 原来多了一个默认是不勾选的选项“收藏后写一条我说”。,浙江杭州,0
功夫熊猫2 短评,铛铛骑驴,2010-05-04,我的Money贡献给了德普叔，所以这部我等D版。,,0
功夫熊猫2 短评,Fiona,2010-05-04,特别特别有爱的电影 3D版的阿宝毛茸茸的 真口耐,北京,0
功夫熊猫2 短评,切克挠挠,2010-05-04,中国的熊猫给了中国人当头一棒，不知道一直受广电呵护的中国导演们做何感想？从变3和哈7为建党伟业让路上，我看到的是心虚。,,0
功夫熊猫2 短评,逻姬恨剧透,2010-05-04,粤语配音,,0
功夫熊猫2 短评,必胜少女挖煤,2010-05-04,真感人...坐我旁边的那位都哭了 我都睡着了快,,0
功夫熊猫2 短评,今生、唯爱,2010-05-04,已下 8.1动画,浙江丽水,0
功夫熊猫2 短评,Tao Project,2010-05-04,http://www.youku.com/show_page/id_zcc14ac1e962411de83b1.html,四川成都,0
功夫熊猫2 短评,WHO IS BINBIN,2010-05-04,好想好想看，还记得那个暑假一个人在影院笑得那么滴开心~！,广东广州,0
功夫熊猫2 短评,云大琪,2010-05-04,看到预告片。。。心动了哈哈,"Sydney, Australia",0
功夫熊猫2 短评,Mr. D,2010-05-04,"第二集要揭开的最大秘密是——阿宝的爸爸为什么是一只鸭子。

-------原来阿宝的爸爸赎身从良后才开始卖面的？！",广东肇庆,0
功夫熊猫2 短评,尼洋❀曼陀果,2010-05-04,作为把大陆人从6岁开始一直到死都不断洗脑的“中宣部”，居然还洗不过千里迢迢漂洋过海来的一部好莱坞动画片，我深感同情。,广东广州,0
功夫熊猫2 短评,伊泽,2010-05-04,沉浸在技术分析里面  很想参与一次类似的制作,,0
功夫熊猫2 短评,低端人狗嗷嗷叫,2010-12-20,第二集要揭开的最大秘密是——阿宝的爸爸为什么是一只鸭子。,"Toronto, Canada",0
功夫熊猫2 短评,鹿鹿鹿,2010-12-20,好想看啊！！没人跟我看啊/(ㄒoㄒ)/~~,,0
功夫熊猫2 短评,[已注销],2010-12-20,有个人说自己是功夫熊猫 然后冲过来 打我 然后 抱紧我,,0
功夫熊猫2 短评,铁蛋,2010-12-20,续集一般都比不上第一部，但很多人都说这部2比1好看，所以很期待。。。,,0
功夫熊猫2 短评,YN!ngC,2010-12-20,内网自从哥从那里下了以后几乎都没更新过什么电影~,浙江宁波,0
功夫熊猫2 短评,严莫,2010-12-20,周末有时间没？,北京,0
功夫熊猫2 短评,Cherry。,2010-12-20,明天就六一了....但谁能告诉我票价多少啊!!!!我好想翻山越岭的逃课去装小盆友啊!!,,0
功夫熊猫2 短评,KLNC,2010-12-20,人家的历史不过300年，为什么就能对别的民族文化理解如此到位，相反拥有5000年的文明大国连自己电影的基本叙事都做不好，叫人情何以堪,安徽芜湖,0
美国队长2 短评,王子彩虹,2015-02-20,新十放,湖北武汉,0
美国队长2 短评,三四,2015-02-20,才发现有我罗宾阿姨！,福建福州,0
功夫熊猫2 短评,蘇湛,2010-05-04,第二集要揭开的最大秘密是——阿宝的爸爸为什么是一只鸭子.......囧,香港,0
功夫熊猫2 短评,老樟树下的猫,2010-05-04,功夫熊猫1上映的时候，我刚刚高考完，一转眼，功夫熊猫2也成了社会话题，我在熬通宵准备期末考试。暑假一过就大四了……,江西南昌,0
美国队长2 短评,virgin。。,2015-02-20,漫威电影宇宙 的第九部影片 按顺序 接下来好像应该看 。。,北京,0
功夫熊猫2 短评,时间的玫瑰,2010-05-04,功夫熊猫2，剧透型观影小指南：使用了皮影，水墨，贪吃蛇，大炼钢铁的元素。外部冲突是打坏蛋，内部冲突是寻找自我。随便什么时候都是尿点。困困,上海,0
功夫熊猫2 短评,暮玦明,2010-05-04,做作业重看功夫熊猫1，真精彩啊,江苏南京,0
窃听风云2 短评,米粒,2011-08-18,真的好想看，我好喜欢窃听1,"New York City, United States",0
功夫熊猫2 短评,jason1st,2010-05-04,某些人说中国的熊猫中国的功夫却是美国的电影，我真想说你丫尼玛闲的丹疼啊，美国科技发达拍的好，中国有东西，何乐不合作？扯什么国家,,0
窃听风云2 短评,[已注销],2011-08-18,http://www.tudou.com/programs/view/kpF-RsRrud4,,0
窃听风云2 短评,[已注销],2011-08-18,下周末看这个！吴彦祖！！！！！！！,,0
美国队长2 短评,MR.馬可·白,2015-02-20,冬季练哥……瞎了好麽,"San Francisco Bay Area, United States",0
美国队长2 短评,Eronele,2015-02-20,啥时候讲黑寡妇和鹰眼的故事嘛 好烦躁,北京,0
美国队长2 短评,Kevin.滨,2015-02-20,巴基回复记忆,广东汕头,0
美国队长2 短评,飞翔的狐狸,2015-02-20,莫名戳中笑点,"Los Angeles, United States",0
功夫熊猫2 短评,鹿鸣之什,2010-05-04,大神Charlie Kaufman编剧？梦工厂要改变情节薄弱的缺点来和皮克斯对抗了？但会不会太复杂？,陕西西安,0
窃听风云2 短评,随易,2011-08-18,吴彦祖和古天乐要搞基吗？成双成对得出现。。。,北京,0
功夫熊猫2 短评,#稀飯,2010-05-04,测试！ 原来多了一个默认是不勾选的选项“收藏后写一条我说”。,浙江杭州,0
美国队长2 短评,ReverSea,2015-02-20,结果助手墨镜一摘，是John Carter,上海,0
窃听风云2 短评,Eliza,2011-08-18,两人也太高产了吧！！,上海,0
功夫熊猫2 短评,youcat,2010-05-04,......果然身世有谜团吗orz,上海,0
